Departamento,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Total,660716,637902,794040,698954,666999,668220,652075,626259,610316,601781,581022,421096
Amazonas,10485,7552,14866,12030,11390,11515,11096,11282,10153,10067,9815,5382
Áncash,19564,18965,26115,22959,22463,22823,21417,20716,20634,20010,19339,15939
Apurímac,9231,7103,11593,9487,8132,8856,8535.99999999999,8027,7983,7692,7347,6150
Arequipa,24753,20242,27182,24375,24562,25958,25620,25941,24974,24705,23412,17834
Ayacucho,12884,13838,18032,14638,13200,13916,13464,13274,13402,12757,12469,9213
Cajamarca,37501,34137,38118,33452,33175,32494,29942.0000000001,28575,27689,26537,25364,20304
Prov. Const. del Callao,18735,18029,17229,17553,17205,17171,17890,16419,16031,18406,16308,10330
Cusco,28921,26907,34616,31588,27337,28221,27093,26627,25742,25043,23814,18637
Huancavelica,10152,9171,10551,8181,8083,7512,7334.99999999999,6854,6799,6434,6098,4000
Huánuco,19596,17860,21305,19216,17800,17925,17180,16392,17038,16033,15666,12549
Ica,17368,17905,17959,18358,18532,19190,18909,18122,17520,17736,17115,13800
Junín,28333,26228,33397,29227,26086,27157,26309,25889,26222,25200,24768,17444
La Libertad,40848,41646,47660,42087,42335,41250,40894,38673,37545,37752,36436,23323
Lambayeque,27063,29237,31242,28025,28277,27762,27409,26191,25741,26125,24724,18691
Lima,183615,187973,208448,195756,195672,199449,196942,188375,181630,181392,175919,130229
Lima Metropolitana 1/,166228,170452,190226,179317,178532,182557,180073,171954,165526,165523,160269,119020
Departamento de Lima 2/,17387,17521,18222,16439,17140,16892,16869,16421,16104,15869,15650,11209
Loreto,39732,36675,69937,52665,35732,34606,35321,32091,29756,28074,27860,12893
Madre de Dios,3910,1781,5217,4858,4290,4278,4004,3968,4137,4222,4086,2102
Moquegua,3001,2861,3041,2722,2956,2898,2815,2561,2559,2415,2392,2119
Pasco,7497,8491,9139,7948,7145,6677,5931,5646,5741,5129,5064,4238
Piura,45532,41482,49490,43127,44306,44812,41518,40415,39942,40304,38651,28544
Puno,22430,22288,26452,23869,23268,23072,22060,21515,20603,19794,18642,14246
San Martín,22409,23920,29218,22361,21886,21826,19879,19936,20105,18671,18625,14510
Tacna,5767,4460,6254,5485,5603,5817,6024,5626,5570,5641,5255,4203
Tumbes,4815,5052,5707,5386,5168,5320,4987,4676,4662,4833,4528,3645
Ucayali,16574,14099,31272,23601,22396,17715,19500,18468,18138,16809,17325,10771

